GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488
105374312	4	2	6	23	0	2
100302204	1	2	4	10	0	3
101927056	44	33	73	32	28	27
102723696	60	52	77	83	37	37
100125556	60	41	191	59	43	135
200810	16	31	66	22	29	51
152015	1	2	6	0	0	1
54946	1034	1584	2127	550	900	1594
105374085	26	32	54	11	17	27
112267887	0	2	3	4	1	3
10840	31	59	449	32	126	197
100874204	1	1	23	10	9	9
105374083	0	0	0	0	0	0
100862662	1	3	14	0	3	7
107986124	7	4	5	3	1	1
28999	614	710	710	107	282	450
105374088	0	0	0	0	0	0
107986044	0	1	0	0	0	0
100506907	0	0	1	0	0	1
348807	9	6	32	46	38	39
79364	764	1314	1615	336	509	956
131669	1	5	7	1	1	3
166012	17	70	33	33	20	19
152065	3	4	5	2	6	8
105374090	2	4	1	1	3	1
114112	287	334	462	235	224	365
255330	0	0	0	0	0	0
84303	233	264	486	306	333	257
5361	2011	1951	2609	573	1013	1768
285311	0	0	2	1	1	0
100419008	0	0	0	0	0	0
101927123	0	0	0	0	0	0
105374094	0	0	3	0	1	0
101927149	1	0	1	3	0	0
107986125	5	3	0	3	4	1
131601	2289	2150	3799	1749	1956	1910
102466199	6	16	14	3	4	5
102465857	0	0	0	0	0	0
4171	185	482	629	91	202	368
107986126	72	109	256	67	132	111
50512	225	380	437	230	281	452
80325	1294	2050	3555	1332	1654	1473
11343	9583	7452	9531	3515	4489	5413
107986127	76	27	44	46	36	26
107986129	3	7	5	0	0	0
105374096	0	1	0	0	0	0
166348	33	140	64	20	13	47
102723759	8	3	8	0	2	0
29927	28625	25483	39168	15051	17038	22477
8607	2176	2376	3515	744	1714	3163
100874089	1	0	0	2	0	0
60678	564	541	1104	537	782	591
165721	0	0	2	0	1	0
285224	1	0	0	0	0	0
2624	1149	2140	1817	360	988	1281
101927167	342	267	440	177	182	366
90246	236	363	638	87	163	297
23434	0	0	1	0	0	0
6184	14603	15132	22929	8034	11278	14989
7879	10213	9632	13120	3983	6036	8343
113219457	0	0	0	1	0	0
653712	21	38	29	4	12	29
28976	1007	1671	1571	609	672	1124
57501	368	498	643	492	369	346
79825	72	220	229	79	102	137
2815	1	1	0	0	0	0
100534599	1298	1530	1763	333	813	1257
339122	898	1147	1006	176	461	733
57461	719	752	1360	582	653	860
7555	7718	9040	15352	4940	5537	9404
105374101	8	13	9	8	5	12
105374102	1	0	2	0	3	0
22820	10013	11030	13918	3328	7360	10667
102465496	1	6	10	1	17	8
56941	1026	1055	1251	526	708	954
8971	1434	2808	4215	1725	2128	1590
339942	339	626	638	176	148	197
132241	153	216	232	106	75	184
677797	4	3	1	19	2	9
90288	32	25	58	40	71	81
8930	1493	1916	2454	945	882	1610
55764	1599	1774	2200	1229	1101	1540
6010	0	0	2	0	1	0
132243	15	11	24	25	4	16
23129	16706	11139	19896	10234	9069	12639
23023	869	1375	1393	248	522	836
100507032	76	78	191	85	58	163
7200	15	4	27	4	4	2
644974	31	59	130	60	56	52
105374105	3	3	6	2	4	1
729375	194	248	635	425	191	254
105374104	71	31	77	37	18	23
105374103	0	3	0	0	3	2
107986131	3	4	10	6	9	4
107986133	0	1	0	0	0	0
646300	11	53	65	13	14	10
105374106	0	0	0	0	2	0
256076	0	0	6	0	3	0
131873	13	7	25	2	5	9
30849	470	760	890	200	277	600
107986023	1	1	5	1	2	2
105374107	0	0	0	0	0	0
105374108	0	0	0	2	0	0
27032	3113	4231	4582	975	1324	3370
28990	286	293	548	193	204	372
79858	321	415	549	137	215	470
107986024	40	5	17	23	8	3
339874	7	7	15	3	2	12
152195	74	105	111	44	61	119
131870	1483	1470	2376	1342	1606	2459
107986025	0	2	0	5	2	2
105374110	0	0	2	0	2	3
11222	1511	1405	2692	576	1251	2033
677836	0	1	0	0	0	0
105374114	120	202	293	8	28	172
131034	4	11	35	4	4	7
105374113	0	0	4	0	3	0
100847040	0	0	0	0	0	0
105374111	0	0	0	3	0	0
100189179	0	0	0	0	0	0
100189250	0	0	0	0	0	0
55	362	980	836	270	325	796
23317	2126	2446	3077	1127	942	1979
100532724	910	1199	1248	297	431	824
84129	622	768	1014	269	361	664
51554	91	293	88	59	8	20
79876	1323	1592	1983	695	810	1257
27031	703	896	662	152	241	365
348808	13	25	12	10	5	5
105374115	2	0	0	0	0	0
66000	427	220	49	155	86	31
101927455	0	0	0	15	0	0
101927432	21	14	5	9	4	2
8419	14	6	11	12	1	4
85003	7	9	15	3	3	1
55573	6571	6680	9915	2327	2851	4971
11073	448	813	1222	198	311	675
7018	53	39	90	37	46	61
58477	3352	2599	5385	2717	2972	3527
105374116	0	0	0	0	0	0
51560	105	121	142	48	58	80
80111	55	25	38	8	6	14
6578	1495	2045	1153	336	406	574
100507210	0	0	0	0	0	0
105374117	2	11	5	3	0	4
6259	1292	1683	2423	547	589	1495
105374119	1	2	0	1	3	2
105374118	3	1	6	2	0	9
51421	4317	3102	3638	981	674	2814
102466744	2	1	2	2	2	1
100616281	0	0	0	0	0	0
25847	1738	1624	2575	857	1318	1827
80254	890	1059	1510	415	534	1038
2047	59	108	57	64	89	111
339855	19	25	46	24	32	36
105374121	0	1	2	1	6	4
105374120	0	1	0	0	0	1
102724019	0	2	1	6	4	7
105374122	1	1	2	4	2	6
105374123	0	0	0	0	0	0
105374124	0	0	0	0	0	0
5523	569	683	757	343	310	397
107986135	0	2	1	2	2	2
55167	563	1007	1297	338	296	785
5096	896	1249	1378	569	833	1406
10274	1342	1555	2416	537	499	1149
80723	203	242	336	90	217	175
101927597	81	99	191	90	61	76
4690	1284	1199	2099	446	543	780
107986136	251	262	416	27	72	150
53833	129	52	91	67	72	33
105374126	0	0	1	0	0	0
8403	0	1	1	1	2	0
100507274	0	1	0	0	0	0
51208	23	17	23	27	8	13
105374127	20	16	30	44	9	12
105374128	14	9	22	18	0	9
199221	366	224	682	183	175	291
51146	6	0	17	5	1	25
51163	285	398	658	122	188	541
25852	822	1117	1408	356	401	760
347736	178	170	291	138	143	195
22808	4884	1966	3436	1408	761	1228
105374129	3	1	4	4	1	0
83850	636	367	608	362	59	275
80321	342	554	678	251	220	436
55179	347	354	757	179	326	458
5291	635	1192	903	302	340	550
103344930	27	20	61	6	15	59
668	587	669	1181	542	476	683
401089	900	1008	1279	335	268	697
729627	0	0	2	2	0	0
389151	0	2	0	0	0	0
389152	0	0	3	0	1	0
60467	0	0	0	0	2	0
140464	0	0	0	0	0	0
56945	613	725	980	251	410	766
9276	6651	8002	9726	2071	3324	6942
100507291	79	93	113	77	69	90
5948	0	3	8	5	0	0
5947	43969	21384	67636	63343	29410	13046
349565	56	102	93	26	15	53
64084	1562	483	1611	475	344	884
105374132	2	0	0	1	1	0
101927808	1	2	2	0	1	1
102724068	5	1	4	2	4	4
287015	0	0	0	0	3	0
55186	1513	2454	3215	655	955	2057
92369	6	3	23	6	12	8
92370	420	448	818	335	779	871
253461	4014	4964	3558	868	696	2401
5922	1306	1191	1478	329	315	727
646730	0	1	4	0	2	1
9616	2042	2217	3643	1300	1885	2166
131890	0	2	5	5	1	7
105374134	0	0	0	0	0	0
483	5076	3782	5684	2174	2358	3430
7029	599	954	1091	512	497	992
256356	846	1330	1209	524	369	1006
54464	819	1197	1342	598	324	794
545	742	772	1260	269	324	866
5357	325	701	514	77	152	588
105374136	1	2	1	1	2	2
7220	265	292	832	185	107	392
26577	24	150	465	14	35	135
100507389	0	0	0	0	0	1
344838	0	0	0	0	1	0
101927832	2	4	8	10	2	4
100289361	12	15	29	25	14	14
23350	2485	2421	3653	821	906	2267
105374138	0	0	0	0	0	0
9435	27597	10598	25101	11825	9973	11603
105374137	24	2	25	39	10	18
285195	355	633	650	201	267	392
100885796	1	0	1	5	0	3
102724120	8	3	8	7	3	19
205428	898	808	1540	368	302	584
105374140	1	14	8	1	2	2
105374139	0	0	0	0	0	0
105374141	0	0	0	0	0	0
105374142	0	1	9	11	6	0
105374143	0	3	1	3	0	0
105374144	0	0	5	4	1	2
107986138	0	1	0	0	0	0
109729161	1	6	3	8	2	4
5352	967	2024	1049	361	689	915
105374145	14	7	7	1	2	3
57088	377	401	830	84	50	348
57047	14	17	18	7	6	16
5359	2554	1960	1996	707	638	1116
389158	1	0	0	0	1	0
101927866	0	0	0	0	0	0
112268449	0	0	0	0	0	0
84107	0	1	0	0	7	0
7545	0	3	6	0	5	0
440982	0	0	1	0	0	0
102724145	0	0	0	0	0	0
100507461	0	0	0	2	0	0
105374146	0	0	0	0	0	0
105374149	0	0	0	0	0	0
105374148	0	0	0	0	0	1
105374147	1	0	0	1	0	0
105374150	0	0	1	0	0	1
185	47	83	340	15	31	98
1360	4427	1456	2588	1650	273	1709
1359	60	138	218	8	16	128
107986045	0	0	0	1	1	0
2992	1121	1278	2278	558	699	979
6596	442	660	873	174	296	594
100873945	2	10	4	1	0	5
84343	5616	5197	9329	4590	4392	3907
1356	15877	29163	29770	6463	10052	18771
101927942	0	1	3	2	2	0
107986140	1	0	0	0	0	0
116441	189	408	591	103	152	534
4071	17383	12993	11786	8566	9460	8181
100874091	43	97	58	65	37	64
105374151	0	2	6	1	2	4
7104	33	37	8	5	12	11
25937	2519	4164	3773	963	1131	2436
100128025	12	22	22	9	11	26
51122	551	680	1091	238	260	645
389161	0	0	6	3	3	1
11342	2304	2039	3483	1082	962	1682
105374152	7	37	22	14	1	16
5217	1479	1202	2120	832	1054	1586
646903	26	18	22	6	8	22
653659	214	219	435	227	270	254
105374153	0	1	1	0	2	0
107986046	1	0	2	4	1	1
105374313	0	0	0	1	0	0
101927992	0	0	0	0	2	0
101928022	0	0	0	0	0	0
105374154	1	0	1	0	0	0
107986141	0	2	0	1	1	0
107986142	0	0	0	0	0	0
9819	611	917	983	222	265	598
27230	8211	7309	12884	5045	4323	5974
83939	2371	2548	4234	1180	1703	2634
51714	3009	2250	4449	1551	1458	2347
131831	9	10	18	5	11	13
101928085	30	29	50	36	31	28
101928105	4	1	2	5	0	1
6478	1190	1665	2021	378	866	1398
105374155	5	28	14	9	1	5
646951	5	1	8	6	0	3
7401	6	13	0	13	9	14
116933	2	12	6	2	7	4
116931	55	51	62	17	30	51
29909	89	91	136	12	30	65
9934	2187	4184	5231	387	604	1477
53836	7	7	0	0	2	0
53829	112	53	275	83	55	78
64805	48	29	127	25	13	16
285313	256	518	360	36	109	419
100847036	0	0	0	0	0	0
105374157	0	0	0	0	1	0
105374158	7	4	4	1	2	2
344752	637	143	426	281	34	448
101928142	1	1	1	0	0	0
201651	5	4	8	4	2	3
105374160	8	1	4	3	2	5
13	79	42	488	171	276	497
56670	6	16	10	2	5	7
105374159	0	0	0	0	1	0
107986047	2	1	0	0	0	0
101928166	0	1	1	1	0	1
4154	3214	3133	5927	1641	1020	2739
401093	186	119	300	111	52	212
105374162	23	16	73	132	17	20
645843	1	1	1	11	0	1
105374163	2	0	0	1	6	1
102724289	0	0	0	0	2	1
5028	137	580	1730	407	496	1214
5912	897	1231	1830	516	889	989
105374164	0	2	4	1	1	5
105374166	4	1	10	3	1	0
105374165	33	7	9	26	12	21
107986147	0	0	0	2	0	0
152118	0	0	2	1	0	0
100507524	1	5	0	0	1	3
26084	151	149	164	81	55	60
105374167	9	12	6	6	2	26
170506	1539	1617	1734	502	405	1173
344758	0	0	2	0	1	0
105374170	0	1	0	0	2	0
105374171	0	0	1	0	0	0
4311	1763	1214	5536	410	1921	5423
101928190	0	0	0	0	0	0
100507537	1	1	0	0	0	3
105374172	0	0	0	0	0	0
23007	72	76	98	19	50	106
100874036	0	0	0	0	0	1
285315	132	94	173	93	58	157
9197	2480	2949	4044	1167	1232	2672
105374174	3	3	5	6	5	4
8833	1114	1404	2245	505	823	1337
7881	2098	1453	2663	1544	1248	1674
100874083	0	0	0	0	0	3
100874084	0	0	0	0	0	0
6747	6710	4669	7600	3779	3574	4420
100287227	36	43	71	28	32	43
25976	1476	1215	710	307	548	1474
107986148	17	17	4	5	2	0
730091	49	72	70	36	27	64
647033	29	35	77	22	57	67
389170	8	44	16	5	12	24
339894	5	10	14	6	11	31
105374177	3	4	10	8	9	17
100498859	0	1	6	1	2	0
57018	3502	4063	5118	980	1257	2719
101928236	24	22	47	20	12	20
105374179	3	2	1	1	0	1
79674	19	53	22	12	15	25
5806	23	93	119	6	81	129
152078	8	16	27	5	17	33
6474	10	31	27	5	60	78
51319	332	426	551	185	196	345
110599565	1	0	2	2	1	0
100996447	42	30	69	87	48	39
4291	175	197	368	99	120	180
85476	841	1181	1441	348	390	1036
56925	861	592	1412	208	245	374
5918	856	1274	1955	105	196	180
112268457	16	77	46	27	19	16
100287290	57	112	193	84	34	46
64747	1882	2331	3388	1041	1343	2245
105374181	11	9	22	16	4	3
100505385	187	193	175	33	49	95
654502	0	2	0	0	1	1
29970	190	201	176	33	49	97
100500803	0	0	0	0	0	0
100874433	0	0	0	3	1	0
101928351	0	3	2	2	2	1
101928376	0	2	1	0	2	1
3592	13	2	8	3	4	11
730109	0	0	0	0	0	0
105374314	0	0	0	1	0	0
107986149	0	1	0	0	0	0
401097	3	9	10	6	7	11
100174949	371	427	704	127	140	502
57560	366	406	689	123	137	485
10051	799	1043	1492	430	366	917
406949	0	0	0	1	0	0
406951	0	0	0	0	0	0
286827	123	156	239	78	71	174
3840	2022	2693	2971	973	990	1858
677767	108	74	193	281	93	108
80117	9	13	19	5	0	5
151742	653	862	1446	563	417	1234
8706	317	549	578	165	201	526
105374186	2	1	1	2	0	2
51068	1006	1382	1993	564	503	1100
105374187	20	24	40	19	8	40
112268450	5	4	16	3	2	8
165679	170	125	602	246	168	339
107986150	0	0	0	0	0	0
101243545	970	883	2075	963	1830	1975
131149	0	0	0	0	2	0
107986048	0	0	0	0	0	0
107986049	2	1	0	1	0	0
647107	0	0	0	0	0	0
105374188	0	0	0	0	0	0
102724419	2	2	0	0	1	0
100302148	0	0	0	0	0	0
105374189	0	0	0	1	1	0
105374190	0	0	0	0	0	0
105374191	2	2	5	1	1	4
107986151	0	0	0	0	0	1
104355289	1	0	0	0	0	0
107986050	0	0	0	0	0	0
6476	0	0	5	0	0	0
105374192	0	0	0	0	0	0
101928405	0	0	0	0	1	0
22865	1	0	2	0	2	0
103695433	1	1	0	0	0	0
590	108	43	129	7	4	16
105374194	0	0	0	2	0	0
105374193	0	0	0	2	0	0
105374195	0	0	0	0	0	0
105374196	0	0	0	0	0	0
79740	4	1	11	12	15	8
104310350	0	0	0	0	1	0
5276	0	0	2	6	11	4
105374197	0	0	0	2	0	0
151790	1	3	6	8	1	1
11235	935	1108	1601	423	529	981
5274	124	105	143	55	64	138
646168	0	0	0	0	0	0
107986152	175	90	381	265	167	141
27333	1155	1447	2283	948	677	1392
93556	2	2	2	0	1	0
693136	0	0	1	0	0	0
105374200	0	0	0	0	0	0
100507661	2	1	1	0	3	0
105374201	1	0	0	1	1	1
107986051	0	0	0	0	0	0
2122	710	1782	1201	465	523	1718
105374206	0	0	0	0	0	0
105374205	0	1	1	3	1	2
7012	0	1	2	15	0	0
84517	30	32	66	35	26	35
100189318	0	0	0	0	0	0
55892	465	565	933	200	232	563
151827	72	56	148	38	65	105
344657	0	7	26	3	1	9
79782	106	191	246	17	48	150
344658	0	0	1	0	1	0
100128164	1	3	1	1	1	3
7095	6521	7419	8971	3159	2789	6459
26996	885	1865	1072	236	290	905
80012	1223	1838	2144	631	547	1218
105374209	10	10	3	7	0	5
5584	743	1113	1250	343	361	735
6498	1598	1610	2325	788	358	808
5010	68	43	55	38	38	41
102465497	1	2	0	1	1	3
57709	0	0	2	0	2	0
101928583	0	2	0	1	5	7
105374211	0	0	0	0	0	0
200916	578	537	1628	1060	735	894
56648	239	137	323	111	77	170
6514	0	1	1	0	0	0
23043	82	184	187	67	103	136
105374216	0	1	2	2	1	1
693154	0	0	0	0	0	0
102724479	1	1	8	0	2	4
5337	3256	1964	2477	1081	548	751
389177	0	0	0	0	6	1
100874219	1	0	0	0	0	0
105374218	0	0	0	0	0	0
105374217	0	0	0	0	0	0
64778	5819	6093	6093	2545	1853	2254
107986153	126	64	97	119	68	42
2693	0	3	3	2	3	1
8743	1920	3850	1497	1132	651	938
105374219	0	1	0	2	4	0
57552	600	943	703	214	191	367
1894	234	430	452	97	151	251
107986052	0	0	0	0	0	0
83893	0	0	0	0	0	1
105374221	0	0	0	0	0	0
105374220	0	0	0	0	0	0
105374224	0	0	0	0	0	0
22871	215	184	191	76	60	220
105374225	0	0	0	0	1	2
100874010	1	0	0	1	0	0
105374226	0	0	0	0	0	0
254827	133	220	320	99	116	226
107986027	1	0	1	1	1	0
100862679	0	0	0	0	0	0
100874244	0	0	3	0	1	0
100616395	0	0	0	0	0	0
100874245	0	0	0	0	0	0
102465858	0	0	0	0	0	0
105374230	0	0	0	0	0	0
100505547	1	0	0	0	2	1
105374229	0	0	0	0	0	0
101928684	0	0	0	0	0	0
79718	1935	2598	3577	995	996	1914
107986053	0	0	0	0	0	0
100820709	4	4	2	4	1	3
100505566	11	21	13	6	1	2
101928711	6	6	4	0	2	6
102724550	2	6	8	0	1	15
107986154	0	0	0	0	0	0
105374234	1	0	0	0	0	0
107986155	3	0	0	0	0	0
107986156	2	0	0	0	0	0
105374235	32	28	21	9	9	3
100874330	36	69	26	28	33	23
104797538	0	6	3	1	10	1
10242	45	105	97	24	9	86
64393	477	524	798	402	359	548
101928739	0	0	0	0	0	0
5290	878	1223	1478	428	428	764
27094	115	142	191	91	64	117
51193	507	606	1007	287	215	577
55669	1030	1435	1787	497	573	1381
59345	944	1132	1341	471	517	869
107986157	0	0	3	0	0	0
86	850	1094	1725	170	433	1033
57129	999	699	1515	936	630	724
4711	1776	1644	2942	1234	1241	1811
107986158	0	1	1	0	0	1
8975	175	292	446	131	172	293
51555	3	1	5	11	2	3
101928790	0	0	0	0	0	0
100505609	0	0	0	0	1	0
101928856	0	2	1	4	0	0
151613	1616	2356	3391	580	744	2024
339829	52	105	149	26	32	102
101928882	25	82	80	21	5	24
105374240	2	6	4	0	0	2
8087	2891	3628	5242	1177	1748	3012
131118	635	578	1076	413	438	646
347689	3	6	6	3	2	2
102724604	0	0	0	0	0	0
6657	6	15	0	8	14	7
100996490	0	0	0	0	0	0
105374242	0	0	0	0	0	0
105374243	0	0	0	0	2	0
401103	0	0	0	0	0	0
105374244	0	1	0	0	0	0
102724617	0	0	0	0	0	0
107986054	0	0	0	0	4	0
105374245	0	2	1	0	2	0
23200	1144	1739	2598	450	549	1324
54165	792	847	1402	414	379	904
105374246	0	1	5	5	2	1
56922	791	1326	1320	527	688	1522
105374247	0	0	2	0	1	0
27074	225	226	170	124	91	127
23101	138	94	160	48	54	84
84002	264	284	307	47	64	152
107986160	63	25	24	87	81	18
107986161	4	5	0	3	3	2
100505687	238	259	355	125	142	262
109616971	1	0	1	2	1	0
109617007	11	9	9	0	3	15
89857	398	655	383	64	127	154
100874019	1	0	4	1	0	0
105374248	0	0	0	0	0	0
107986162	25	58	33	17	13	7
54800	1368	2987	1629	269	432	746
55689	1404	2071	1959	479	937	1446
100874113	58	110	109	10	22	83
79929	37	24	54	24	35	35
55486	1072	1039	2044	955	1014	1205
100616127	0	0	0	0	0	0
10057	2270	3126	4475	1065	1092	2354
100873982	1	0	0	8	0	1
200909	1	6	12	2	18	12
170572	2	3	12	5	11	14
105374249	7	12	24	10	8	29
106478970	0	1	0	1	0	1
285242	0	4	6	4	8	11
8893	1595	1961	3297	1149	1519	2136
1857	3025	4945	4772	1308	2449	3824
1173	15369	15485	25038	10290	13302	16801
55324	1958	2426	3295	1062	2019	2458
90113	4	12	11	5	9	5
100187716	0	1	0	0	0	0
10195	871	656	1129	861	1088	844
110599564	42	62	98	49	88	56
110599583	16	36	59	14	36	31
94032	11	7	21	19	18	7
9718	1	1	5	0	3	1
5708	6228	6502	8942	3492	3611	5183
1981	11848	16066	16794	3837	6769	13607
692107	0	1	1	3	1	3
131408	536	592	896	133	344	608
1181	129	254	376	71	118	231
5437	1272	1164	2559	1172	1303	1348
7066	148	132	314	233	153	276
8646	4126	2195	6987	2601	3284	3762
105374250	5	5	12	9	2	0
105374251	38	24	51	11	2	3
100874079	1	1	0	1	0	0
2049	171	841	481	216	564	268
64110	830	1037	1947	516	659	1091
107986163	7	41	20	13	27	15
101928992	0	0	1	0	1	1
105374253	1	1	3	1	0	0
23355	1424	1226	1884	609	539	1069
285382	59	52	104	42	54	67
339926	22	32	28	1	7	19
1962	264	375	349	148	138	341
100847054	0	0	0	0	0	0
9175	512	616	840	285	353	527
101929018	21	30	26	9	10	18
90407	523	622	948	445	414	620
105374254	4	15	5	0	3	13
200879	1051	1842	1215	575	425	1115
107986055	0	0	0	0	0	0
59343	822	1012	1200	300	372	829
10644	226	432	307	72	124	176
646600	0	3	2	5	0	2
100847078	0	0	0	0	0	0
6434	3340	3407	5754	1823	1625	3859
344887	3	4	0	0	9	10
2119	316	581	823	248	336	353
105374257	2	3	2	7	1	3
1608	29	26	43	22	17	17
107986164	0	0	1	0	0	0
253573	0	0	0	0	0	0
107986165	0	0	0	0	1	0
1427	64	62	234	153	99	104
55171	298	442	565	125	168	401
51726	2796	3087	4555	2022	2564	3245
197	1	4	2	3	1	1
26998	1	1	0	3	1	1
105374258	4	1	1	6	1	1
3273	0	0	1	0	6	0
3827	44	13	10	21	6	10
105374259	0	1	0	1	0	0
1974	11937	11199	20144	2529	5189	12034
619567	8	23	8	1	0	15
109617006	5	14	19	1	0	12
100302143	9	10	12	3	0	7
677847	11	11	15	4	2	14
6043	11	43	37	49	4	30
619568	30	48	66	5	2	37
5984	224	245	531	191	188	318
102724699	3	0	4	2	4	1
9370	0	0	1	0	0	0
100874095	0	0	1	0	0	0
6480	2022	5355	3781	1242	2500	2407
116832	128	138	334	296	223	166
101929106	0	1	0	0	1	2
132112	0	1	1	0	1	0
5648	2867	2423	6517	1362	2274	4710
105374260	10	22	17	7	9	12
101929130	39	57	170	36	47	121
64108	326	155	480	297	120	222
105374261	7	8	1	1	0	2
105374262	0	0	0	0	0	0
6750	222	48	1657	196	259	127
344892	0	0	0	0	0	0
100131635	0	8	2	2	0	0
604	1804	4198	3581	791	1127	3102
105374263	1	0	0	4	1	0
105374264	2	15	3	0	1	4
105374265	0	1	2	1	5	2
105374266	0	2	1	1	2	0
107986166	0	0	0	0	0	0
339929	37	17	54	48	37	50
4026	2224	3055	4188	953	1157	2673
401105	3	2	11	19	11	6
100873917	1	0	1	2	0	0
407020	0	0	0	0	0	0
100874043	1	2	5	2	2	2
107986168	2	1	1	3	5	2
107986167	84	38	34	41	24	39
285386	169	85	201	93	106	231
100874027	8	6	6	2	6	11
105374270	0	0	0	1	1	1
107986169	0	2	1	0	1	0
8626	24	56	9	34	29	33
100126340	0	0	0	0	0	0
55214	6508	2975	7587	3935	4087	3818
101929152	14	7	9	5	1	1
107986170	3	32	4	5	0	4
9076	934	1505	750	181	96	526
10686	22	45	7	9	2	29
131920	0	0	0	0	0	0
3556	199	941	224	69	285	234
105374272	0	0	0	0	0	0
647309	3	0	3	13	12	12
100170222	0	0	0	0	0	0
107986171	0	1	0	0	0	0
344901	0	0	1	0	0	1
106480738	0	1	0	1	1	1
257313	18	16	10	10	2	11
152137	3258	3673	4214	978	1420	2296
103344926	0	0	0	1	0	0
152138	0	0	0	0	2	0
105374275	0	0	0	0	0	0
105374276	0	0	0	0	0	0
105374277	0	0	0	0	0	0
2257	8	44	46	26	22	59
100873986	0	0	0	0	0	0
100873987	0	0	0	0	0	0
107986028	0	0	1	0	0	0
107986056	0	0	0	0	0	0
151963	157	279	140	39	45	69
105374280	0	0	0	0	0	0
57110	2	22	15	0	15	13
84789	1	1	1	0	2	1
344905	0	1	5	2	2	6
100874218	0	0	1	0	0	0
84239	236	515	346	181	182	534
101929198	1	10	2	1	1	8
4976	1247	1651	1972	531	632	1391
100873941	8	37	14	4	4	10
102724808	3	13	13	9	4	4
105374282	0	0	0	0	0	0
105374283	3	1	5	0	0	1
105374284	5	5	6	2	6	10
105374285	33	57	19	3	5	82
105374287	25	24	20	9	14	47
105374286	1	7	1	0	6	5
647323	0	0	0	0	1	0
100128023	0	0	0	0	0	0
285389	2	25	9	5	3	7
102724877	0	0	2	0	1	1
3280	842	1523	599	310	530	398
107986172	0	0	0	0	0	0
100505920	0	0	0	0	0	0
101929337	0	2	0	0	2	0
105374289	5	0	0	2	0	0
100131551	2	0	0	1	3	0
1370	57	6	36	14	2	13
131578	9002	1569	3037	2222	105	1589
2814	59	14	19	14	1	5
79572	32377	11553	21067	8622	1255	5475
401106	89	60	58	118	35	26
100507297	129	177	275	102	72	176
93109	681	756	1041	384	405	468
105374291	5	6	4	2	4	9
55341	1146	1536	1793	374	690	1367
131583	1042	1883	868	249	591	929
105374292	6	49	1	2	34	0
100507391	1	3	1	0	0	0
105374293	0	0	0	1	0	0
107986174	1	3	0	0	2	1
107986173	0	4	0	0	0	2
105374294	0	1	0	0	0	0
105374295	0	0	0	0	0	0
152002	353	384	590	180	354	405
100874528	1	1	3	0	1	0
100422926	0	0	0	0	0	0
101410543	3	2	2	6	1	3
105374296	9	9	1	6	2	9
23527	1136	1603	1882	426	465	1110
5504	1542	1826	3506	915	636	1537
347	37762	18669	85988	35610	19512	36793
107986029	150	176	290	81	89	117
105374298	43	147	195	37	36	79
105374297	17	76	62	23	7	19
727956	873	780	913	258	269	442
440993	297	353	673	249	157	239
693155	50	124	129	18	18	58
200958	3220	6239	5269	1963	3378	5389
4585	109	416	176	71	153	97
105374299	0	4	1	0	5	0
101929697	1	4	0	0	4	1
107984010	1	18	0	0	26	0
10188	1696	2333	2511	1230	1886	1376
102465977	1	0	2	2	0	0
100128262	49	110	95	43	52	41
727978	19	62	43	19	10	17
255812	999	1200	1974	509	468	750
105374301	11	26	31	19	12	16
7037	5538	4092	5465	1413	900	1562
401109	2	20	7	8	12	15
105374303	0	0	1	0	1	0
131540	13	17	21	25	11	14
105374304	16	11	27	23	13	10
200931	41	22	71	70	47	60
5130	2597	2928	4201	1472	1649	2832
255758	97	115	221	202	79	105
100534611	48	50	105	73	33	59
107986031	11	25	29	10	8	10
100874214	5	12	13	9	3	11
116211	3	9	5	6	3	5
26043	1055	1572	1777	524	606	1104
100874034	9	10	18	5	6	6
165918	636	953	1235	466	556	719
105374306	3	5	9	4	3	0
105374307	0	0	1	0	0	1
255798	0	1	5	1	0	4
348793	213	208	456	136	226	308
200933	330	363	516	188	208	415
101929769	7	2	10	11	9	7
375387	259	510	500	85	294	285
84984	91	124	155	34	46	131
54965	707	675	1019	518	533	813
5062	2740	3400	3672	1251	1059	2305
205564	716	983	1104	383	407	716
22916	2695	2249	3768	1471	1487	2652
100874001	108	134	163	26	37	99
152217	245	201	583	291	374	440
80235	291	394	609	317	341	443
4241	1915	1375	4160	3295	5429	2114
100507057	241	172	524	219	560	290
1739	896	1199	1387	316	445	1067
100616216	0	0	0	0	1	0
100507086	1	8	5	2	4	11
101926923	0	0	0	0	0	0
105374308	0	0	0	0	0	3
105374309	0	1	0	0	0	0
100129516	7	10	8	3	11	21
622	480	772	995	436	827	1260
220729	208	531	532	94	195	371
107986175	16	56	35	11	5	14
112268458	38	89	91	50	11	33
9711	1149	1361	1671	582	652	1008
100126321	30	39	41	8	10	24
84248	1717	2262	3168	948	773	1892
84859	1464	1668	1970	650	764	1177
105374310	0	0	11	2	3	2
84223	745	365	616	203	215	421
6165	12139	11725	30756	20511	15386	15271
89782	274	464	495	206	241	441
100873947	7	32	20	6	13	21
348840	3	1	5	0	0	2
107986177	0	0	0	0	0	0
728262	90	199	153	84	125	101
105379426	5	14	36	12	3	30
101928669	18	16	115	20	8	25
101059949	1	4	9	2	0	3
107987361	1	3	19	5	2	10
152687	197	257	370	100	106	217
255403	174	140	172	37	43	219
642280	24	35	45	9	13	11
